,match_uid_question_0,match_uid_question_1,match_uid_question_10,match_uid_question_11,match_uid_question_12,match_uid_question_13,match_uid_question_14,match_uid_question_15,match_uid_question_2,match_uid_question_3,match_uid_question_4,match_uid_question_5,match_uid_question_6,match_uid_question_7,match_uid_question_8,match_uid_question_9,uid_question_0,uid_question_1,uid_question_10,uid_question_11,uid_question_12,uid_question_13,uid_question_14,uid_question_15,uid_question_2,uid_question_3,uid_question_4,uid_question_5,uid_question_6,uid_question_7,uid_question_8,uid_question_9,star_plus
12669,,,,,,,,,,,,,,,,,Slightly disagree,Neutral,Agree,Slightly agree,Neutral,Neutral,Slightly agree,Neutral,Neutral,Slightly agree,Neutral,Neutral,Slightly agree,Neutral,Slightly agree,Agree,3.0
12670,Slightly agree,Neutral,Slightly disagree,Neutral,Disagree,Agree,Slightly disagree,Agree,Slightly agree,Slightly disagree,Slightly agree,Neutral,Agree,Slightly agree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,3.25
12671,Neutral,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,3.0
12672,,,,,,,,,,,,,,,,,Slightly disagree,Slightly agree,Neutral,Agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly agree,5.0
12673,,,,,,,,,,,,,,,,,Disagree,Neutral,Slightly disagree,Neutral,Neutral,Agree,Slightly disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Slightly disagree,Slightly agree,2.75
12674,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Neutral,Agree,Slightly agree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,4.0
12675,,,,,,,,,,,,,,,,,Disagree,Neutral,Neutral,Neutral,Slightly agree,Disagree,Slightly agree,Slightly agree,Disagree,Disagree,Disagree,Slightly disagree,Neutral,Disagree,Slightly disagree,Agree,5.0
12676,Slightly disagree,Slightly agree,Neutral,Agree,Neutral,Agree,Neutral,Slightly disagree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Slightly agree,,,,,,,,,,,,,,,,,5.0
12677,Disagree,Slightly disagree,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly disagree,Slightly disagree,Neutral,,,,,,,,,,,,,,,,,4.75
12678,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Neutral,Slightly agree,Slightly disagree,Disagree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,5.0
12679,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Disagree,Neutral,Slightly agree,Slightly disagree,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,3.0
12680,,,,,,,,,,,,,,,,,Disagree,Slightly agree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Agree,Slightly agree,Slightly disagree,Agree,Neutral,Slightly agree,Slightly agree,Slightly agree,Neutral,Neutral,3.75
12681,,,,,,,,,,,,,,,,,Disagree,Neutral,Agree,Disagree,Slightly agree,Agree,Neutral,Slightly disagree,Disagree,Agree,Slightly agree,Disagree,Neutral,Disagree,Slightly agree,Agree,2.0
12682,Slightly agree,Agree,Slightly agree,Neutral,Disagree,Neutral,Neutral,Disagree,Slightly disagree,Agree,Slightly disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
12683,Slightly agree,Agree,Neutral,Neutral,Slightly agree,Slightly agree,Agree,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly disagree,Neutral,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,5.0
12684,Disagree,Slightly disagree,Agree,Agree,Slightly agree,Slightly disagree,Slightly disagree,Disagree,Disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Slightly agree,,,,,,,,,,,,,,,,,2.0
12685,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Disagree,Agree,Disagree,Slightly agree,Agree,5.0
12686,Slightly disagree,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Neutral,Agree,Neutral,Slightly agree,Neutral,Neutral,Agree,Slightly agree,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,5.0
12687,,,,,,,,,,,,,,,,,Slightly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,1.0
12688,,,,,,,,,,,,,,,,,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Slightly disagree,Slightly agree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Agree,Agree,2.5
12689,,,,,,,,,,,,,,,,,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Disagree,Neutral,Slightly agree,Slightly disagree,Disagree,Slightly agree,Agree,5.0
12690,,,,,,,,,,,,,,,,,Disagree,Slightly agree,Neutral,Disagree,Neutral,Neutral,Slightly agree,Slightly agree,Slightly agree,Agree,Neutral,Neutral,Slightly agree,Agree,Disagree,Agree,2.0
12691,,,,,,,,,,,,,,,,,Slightly disagree,Neutral,Neutral,Neutral,Neutral,Agree,Slightly agree,Slightly agree,Agree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Disagree,Neutral,Neutral,5.0
12692,Slightly agree,Neutral,Slightly agree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Slightly agree,Disagree,Slightly disagree,Disagree,Agree,,,,,,,,,,,,,,,,,2.5
12693,Slightly disagree,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Neutral,Agree,Neutral,Slightly agree,Neutral,Neutral,Agree,Slightly agree,Slightly agree,Slightly agree,Disagree,Neutral,Slightly agree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,0.75
12694,,,,,,,,,,,,,,,,,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Agree,Neutral,Agree,Slightly agree,Neutral,Slightly disagree,Neutral,Neutral,Neutral,Disagree,Neutral,4.75
12695,Disagree,Neutral,Disagree,Agree,Slightly agree,Slightly agree,Agree,Neutral,Neutral,Disagree,Neutral,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,,,,,,,,,,,,,,,,,3.25
12696,Agree,Agree,Disagree,Slightly agree,Slightly disagree,Agree,Slightly disagree,Disagree,Agree,Agree,Neutral,Slightly disagree,Agree,Slightly agree,Disagree,Neutral,,,,,,,,,,,,,,,,,5.0
12697,Disagree,Disagree,Agree,Agree,Disagree,Slightly agree,Slightly disagree,Disagree,Disagree,Agree,Neutral,Slightly agree,Slightly agree,Slightly disagree,Disagree,Agree,,,,,,,,,,,,,,,,,2.0
12698,Slightly disagree,Slightly agree,Neutral,Agree,Neutral,Agree,Neutral,Slightly disagree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Slightly agree,,,,,,,,,,,,,,,,,2.0
12699,,,,,,,,,,,,,,,,,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Neutral,Slightly agree,Slightly disagree,Neutral,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Agree,4.0
12700,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,6.0
12701,,,,,,,,,,,,,,,,,Disagree,Neutral,Agree,Disagree,Slightly agree,Agree,Neutral,Slightly disagree,Disagree,Agree,Slightly agree,Disagree,Neutral,Disagree,Slightly agree,Agree,1.0
12702,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,,,,,,,,,,,,,,,,,1.0
12703,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Disagree,Neutral,Slightly agree,Slightly disagree,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,6.0
12704,Disagree,Slightly agree,Agree,Slightly agree,Slightly disagree,Neutral,Slightly disagree,Slightly agree,Neutral,Agree,Slightly disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,1.5
12705,Disagree,Disagree,Slightly agree,Agree,Agree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Slightly disagree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,4.0
12706,Slightly disagree,Slightly agree,Agree,Slightly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly agree,Neutral,Slightly agree,Slightly agree,Slightly disagree,Neutral,Agree,Disagree,Slightly disagree,Slightly agree,Agree,Disagree,Slightly disagree,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Neutral,Slightly agree,Slightly agree,5.0
12707,Slightly disagree,Neutral,Slightly agree,Slightly agree,Slightly agree,Neutral,Neutral,Neutral,Slightly disagree,Neutral,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Agree,,,,,,,,,,,,,,,,,5.0
12708,Disagree,Neutral,Agree,Disagree,Slightly agree,Agree,Neutral,Slightly disagree,Disagree,Agree,Slightly agree,Disagree,Neutral,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
12709,,,,,,,,,,,,,,,,,Neutral,Slightly agree,Neutral,Neutral,Neutral,Slightly disagree,Neutral,Slightly disagree,Slightly agree,Agree,Agree,Slightly agree,Agree,Agree,Slightly disagree,Slightly agree,5.0
12710,Slightly disagree,Neutral,Slightly disagree,Neutral,Agree,Agree,Neutral,Slightly agree,Neutral,Agree,Neutral,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,2.5
12711,Neutral,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Disagree,Agree,Slightly disagree,Slightly agree,Slightly disagree,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,5.0
12712,,,,,,,,,,,,,,,,,Disagree,Neutral,Slightly agree,Neutral,Neutral,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly agree,5.0
12713,Disagree,Slightly agree,Agree,Slightly agree,Slightly disagree,Neutral,Slightly disagree,Slightly agree,Neutral,Agree,Slightly disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,4.75
12714,,,,,,,,,,,,,,,,,Disagree,Slightly agree,Agree,Slightly agree,Slightly disagree,Neutral,Slightly disagree,Slightly agree,Neutral,Agree,Slightly disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Agree,3.25
12715,Slightly agree,Neutral,Neutral,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly disagree,Agree,Neutral,Slightly agree,Neutral,Neutral,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,1.75
12716,,,,,,,,,,,,,,,,,Slightly agree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Agree,Agree,Disagree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly disagree,2.0
12717,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Slightly agree,Slightly disagree,Agree,Slightly disagree,Disagree,Agree,Agree,Neutral,Slightly disagree,Agree,Slightly agree,Disagree,Neutral,3.0
12718,,,,,,,,,,,,,,,,,Disagree,Neutral,Agree,Disagree,Slightly agree,Agree,Neutral,Slightly disagree,Disagree,Agree,Slightly agree,Disagree,Neutral,Disagree,Slightly agree,Agree,5.0
12719,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Slightly agree,Slightly disagree,Agree,Slightly disagree,Disagree,Agree,Agree,Neutral,Slightly disagree,Agree,Slightly agree,Disagree,Neutral,2.0
12720,,,,,,,,,,,,,,,,,Neutral,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree,6.0
12721,,,,,,,,,,,,,,,,,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Neutral,Slightly agree,Slightly disagree,Disagree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Agree,5.0
12722,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Agree,Slightly disagree,Agree,Agree,Agree,Slightly disagree,Agree,Agree,Disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Agree,5.0
12723,,,,,,,,,,,,,,,,,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Slightly agree,Agree,5.0
12724,Slightly disagree,Disagree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Agree,,,,,,,,,,,,,,,,,4.0
12725,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Slightly agree,Disagree,Disagree,Agree,Disagree,Disagree,Slightly disagree,Disagree,Disagree,Slightly agree,5.0
12726,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,,,,,,,,,,,,,,,,,2.0
12727,,,,,,,,,,,,,,,,,Slightly disagree,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Neutral,Agree,Neutral,Slightly agree,Neutral,Neutral,Agree,Slightly agree,Slightly agree,Slightly agree,5.0
12728,,,,,,,,,,,,,,,,,Disagree,Neutral,Slightly disagree,Neutral,Neutral,Agree,Slightly disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Slightly disagree,Slightly agree,5.0
12729,,,,,,,,,,,,,,,,,Disagree,Disagree,Slightly agree,Agree,Agree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Slightly disagree,Slightly disagree,Slightly agree,2.0
12730,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly disagree,Neutral,Slightly agree,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,4.0
12731,Slightly disagree,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Neutral,Agree,Neutral,Slightly agree,Neutral,Neutral,Agree,Slightly agree,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,2.5
12732,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Neutral,Neutral,Slightly agree,Slightly agree,Agree,Agree,Neutral,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Neutral,Slightly agree,Agree,Neutral,Slightly agree,Slightly agree,2.0
12733,,,,,,,,,,,,,,,,,Neutral,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Neutral,Neutral,Neutral,Slightly disagree,Slightly disagree,Slightly agree,4.0
12734,Slightly disagree,Neutral,Agree,Slightly agree,Neutral,Slightly agree,Agree,Neutral,Slightly agree,Disagree,Disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,5.0
12735,,,,,,,,,,,,,,,,,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Neutral,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree,5.0
12736,,,,,,,,,,,,,,,,,Neutral,Slightly agree,Slightly disagree,Disagree,Neutral,Agree,Slightly agree,Slightly disagree,Agree,Agree,Slightly disagree,Disagree,Slightly agree,Slightly disagree,Disagree,Slightly agree,4.0
12737,Disagree,Neutral,Disagree,Agree,Slightly agree,Slightly agree,Agree,Neutral,Neutral,Disagree,Neutral,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,,,,,,,,,,,,,,,,,3.0
12738,,,,,,,,,,,,,,,,,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Neutral,Slightly agree,Slightly disagree,Neutral,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Agree,2.0
12739,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Slightly agree,Slightly disagree,Agree,Slightly disagree,Disagree,Agree,Agree,Neutral,Slightly disagree,Agree,Slightly agree,Disagree,Neutral,2.5
12740,,,,,,,,,,,,,,,,,Neutral,Slightly disagree,Agree,Neutral,Slightly disagree,Slightly agree,Slightly agree,Neutral,Neutral,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Slightly disagree,Agree,4.0
12741,Slightly disagree,Slightly agree,Neutral,Agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,5.0
12742,Neutral,Slightly agree,Slightly disagree,Neutral,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neutral,Agree,Agree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,2.0
12743,,,,,,,,,,,,,,,,,Slightly disagree,Neutral,Neutral,Neutral,Neutral,Agree,Slightly agree,Slightly agree,Agree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Disagree,Neutral,Neutral,5.0
12744,Disagree,Neutral,Slightly agree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,,,,,,,,,,,,,,,,,5.0
12745,,,,,,,,,,,,,,,,,Slightly agree,Neutral,Slightly agree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Slightly agree,Disagree,Slightly disagree,Disagree,Agree,3.75
12746,,,,,,,,,,,,,,,,,Slightly agree,Agree,Slightly disagree,Neutral,Disagree,Neutral,Slightly agree,Slightly disagree,Slightly agree,Neutral,Slightly agree,Neutral,Slightly agree,Agree,Slightly disagree,Neutral,5.0
12747,Slightly disagree,Neutral,Agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Neutral,Neutral,Neutral,Slightly agree,Agree,Agree,Neutral,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
12748,Slightly agree,Neutral,Slightly agree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Slightly agree,Disagree,Slightly disagree,Disagree,Agree,,,,,,,,,,,,,,,,,5.0
12749,Disagree,Slightly agree,Neutral,Neutral,Neutral,Agree,Neutral,Slightly agree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,2.0
12750,,,,,,,,,,,,,,,,,Slightly agree,Slightly agree,Neutral,Agree,Agree,Slightly agree,Slightly agree,Disagree,Agree,Agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Neutral,5.0
12751,Disagree,Disagree,Slightly agree,Agree,Agree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Slightly disagree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,3.25
12752,Slightly disagree,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Neutral,Agree,Neutral,Slightly agree,Neutral,Neutral,Agree,Slightly agree,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,3.0
12753,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,3.25
12754,Disagree,Slightly disagree,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly disagree,Slightly disagree,Neutral,,,,,,,,,,,,,,,,,5.0
12755,Disagree,Slightly disagree,Agree,Slightly disagree,Agree,Agree,Agree,Slightly disagree,Agree,Agree,Disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,3.0
12756,,,,,,,,,,,,,,,,,Disagree,Disagree,Agree,Agree,Disagree,Slightly agree,Slightly disagree,Disagree,Disagree,Agree,Neutral,Slightly agree,Slightly agree,Slightly disagree,Disagree,Agree,3.25
12757,,,,,,,,,,,,,,,,,Slightly disagree,Disagree,Agree,Disagree,Disagree,Agree,Slightly disagree,Disagree,Disagree,Disagree,Disagree,Agree,Slightly agree,Neutral,Slightly disagree,Agree,2.5
12758,Slightly disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Neutral,Slightly agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,,,,,,,,,,,,,,,,,4.0
12759,Slightly disagree,Disagree,Agree,Disagree,Disagree,Agree,Slightly disagree,Disagree,Disagree,Disagree,Disagree,Agree,Slightly agree,Neutral,Slightly disagree,Agree,Disagree,Disagree,Slightly agree,Agree,Agree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Slightly disagree,Slightly disagree,Slightly agree,5.0
12760,Neutral,Neutral,Disagree,Slightly agree,Neutral,Neutral,Slightly disagree,Neutral,Neutral,Agree,Slightly disagree,Slightly disagree,Neutral,Disagree,Disagree,Slightly agree,,,,,,,,,,,,,,,,,5.0
12761,Neutral,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,3.25
12762,,,,,,,,,,,,,,,,,Neutral,Neutral,Slightly agree,Slightly agree,Neutral,Neutral,Slightly agree,Agree,Slightly agree,Agree,Slightly disagree,Disagree,Slightly agree,Disagree,Neutral,Slightly agree,2.0
12763,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,,,,,,,,,,,,,,,,,2.0
12764,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,,,,,,,,,,,,,,,,,5.0
12765,,,,,,,,,,,,,,,,,Neutral,Neutral,Slightly agree,Slightly agree,Neutral,Neutral,Slightly agree,Agree,Slightly agree,Agree,Slightly disagree,Disagree,Slightly agree,Disagree,Neutral,Slightly agree,1.0
12766,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Disagree,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
12767,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Disagree,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,5.0
12768,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Agree,Slightly disagree,Disagree,Slightly disagree,Agree,Neutral,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Neutral,Slightly agree,Agree,5.0
12769,Disagree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,5.0
12770,Neutral,Slightly agree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Neutral,Agree,Neutral,Agree,Agree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,2.0
12771,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Disagree,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,5.0
12772,Disagree,Neutral,Agree,Disagree,Slightly agree,Agree,Neutral,Slightly disagree,Disagree,Agree,Slightly agree,Disagree,Neutral,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
12773,Disagree,Disagree,Slightly agree,Agree,Agree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Slightly disagree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,4.75
12774,,,,,,,,,,,,,,,,,Neutral,Neutral,Slightly agree,Slightly agree,Neutral,Neutral,Slightly agree,Agree,Slightly agree,Agree,Slightly disagree,Disagree,Slightly agree,Disagree,Neutral,Slightly agree,5.0
12775,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Neutral,Slightly agree,Slightly disagree,Disagree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,2.0
12776,Disagree,Slightly disagree,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly disagree,Slightly disagree,Neutral,,,,,,,,,,,,,,,,,3.25
12777,Disagree,Slightly agree,Agree,Neutral,Disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Disagree,Disagree,Disagree,Slightly agree,Disagree,Disagree,Agree,,,,,,,,,,,,,,,,,2.0
12778,,,,,,,,,,,,,,,,,Slightly agree,Slightly disagree,Slightly agree,Agree,Neutral,Slightly agree,Slightly agree,Agree,Agree,Disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Disagree,Neutral,4.0
12779,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Slightly agree,Slightly agree,Agree,Neutral,Neutral,Disagree,Neutral,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,3.25
12780,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Disagree,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,5.0
12781,,,,,,,,,,,,,,,,,Disagree,Disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Neutral,Neutral,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree,2.75
12782,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,,,,,,,,,,,,,,,,,5.0
